"Do not rotate","Do not rotate",module,Magento_TargetRule
"You cannot send more invitations","You cannot send more invitations",module,Magento_Invitation
"Customer Invitation Email Template","Customer Invitation Email Template",module,Magento_Invitation
"Temporary (302)","Temporary (302)",module,Magento_UrlRewrite
"Average","Середній",module,Magento_CustomerSegment
"Coupons/Discounts","Купони/Знижки",module,Magento_SalesRule
"Cancel","Скасувати",module,Magento_MultipleWishlist
"Show Middle Name (initial)","Show Middle Name (initial)",module,Magento_Customer
"Translate Inline","Перекласти у Тексті",module,Magento_Backend
"Invalid URL key","Недопустимий ключ URL-адреси",module,Magento_CatalogUrlRewrite
"ID","Ідентифікатор",module,Magento_Sitemap
"Start Download","Start Download",module,Magento_Downloadable
"[STORE VIEW]","[STORE VIEW]",module,Magento_CatalogEvent
"Unique constraint violation found","Unique constraint violation found",module,Magento_Eav
"<a href="https://financing.paypal.com/ppfinportal/content/whyUseFinancing" target="_blank">Why Advertise Financing?</a><br/>,module,Magento_Paypal <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing,module,Magento_Paypal from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.,module,Magento_Paypal Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.,module,Magento_Paypal The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%,module,Magento_Paypal or more. <a href="https://financing.paypal.com/ppfinportal/content/forrester" target="_blank">See Details</a>.","<a href="https://financing.paypal.com/ppfinportal/content/whyUseFinancing" target="_blank">Why Advertise Financing?</a><br/>,module,Magento_Paypal <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing,module,Magento_Paypal from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.,module,Magento_Paypal Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.,module,Magento_Paypal The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%,module,Magento_Paypal or more. <a href="https://financing.paypal.com/ppfinportal/content/forrester" target="_blank">See Details</a>.",module,Magento_Paypal
"There was no category rules to apply","There was no category rules to apply",module,Magento_VisualMerchandiser
"Country Specific Settings","Специфічні для Країн Налаштування",module,Magento_Braintree
"[WEBSITE]","[WEBSITE]",module,Magento_CustomAttributeManagement
"Email has not been sent","Email has not been sent",module,Magento_Shipping
"Attribute Information","Інформація атрибуту",module,Magento_CustomerCustomAttributes
"Proceed to Checkout","Перейти до оформлення замовлення",module,Magento_Checkout
"Template Subject","Template Subject",module,Magento_Email
"You have not entered a product SKU. Please <a href="%1">click here</a> to add product(s) by SKU.","Ви не ввели артикул товару. Будь ласка, <a href="%1">натисніть тут</a>, щоб додати товар(и) за артикулом.",module,Magento_AdvancedCheckout
"not found","not found",module,Magento_Reminder
